,Deal status,"Deal value
th EUR","Acquiror stock price 3 months prior to rumour
EUR","Target stock price 3 months prior to rumour
EUR",Deal sub-type,Target major sector,"Target operating revenue/turnover
th EUR
Last avail. yr"
420,0,"477,111.00*",56.36551956498998,3.64,2,8,4042.121
423,1,"476,143.38*",30.980324168793498,8.596619928,12,5,1558370.2541000003
467,0,"346,030.43*",64.18668996191502,10.557726696059001,2,3,398261.004475
471,0,"335,472.53*",9.56754019585,4.055290201722824,13,11,98995.12159288
502,0,"240,885.58*",8.3335696015,9.43966156679,2,5,40008.11866
515,0,"215,467.70*",15.147164572864,0.354687592934137,2,4,865186.9756527683
543,1,"171,460.69*",6.941624726535,6.941624726535,3,5,400494.32639999996
545,1,"171,354.86*",1.8927456,1.8927456,8,1,1365.787539006
554,0,"159,550.40*",21.6,8.72692177401,2,11,334971.57441675005
563,1,"157,426.15*",10.315009530547998,10.315009530547998,2,5,37497.10344099999
579,1,"133,632.61*",5.36630315669,5.36630315669,8,7,8268.5773534
593,0,"129,051.27*",0.9856665073800001,4.103293164056,6,3,30072.974879999994
597,0,126696.75,476.23544421010524,0.04721957581817241,3,12,173870.38867187503
602,2,"125,789.11*",11.90835329576349,11.90835329576349,9,5,643.8872167
614,1,"119,992.21*",6.252542899573047,3.2611056246519405,10,6,512808.29863350186
630,1,"98,958.80*",0.911498,0.911498,8,3,227420.84072399998
635,1,"87,200.35*",0.8085631050000001,0.8085631050000001,8,5,118.85451995999999
660,0,"79,747.02*",18.1071233406,5.2752,3,13,393.091591151
663,0,"78,931.87*",1.43609505,26.827454245078005,2,5,1532918.5220159998
706,1,"55,629.23*",9.369215295485974,7.246141878774866,2,5,935.6925317669173
760,0,44064.81,923218919.9999999,0.12946918614300001,6,1,0.0
839,0,"30,983.70*",11.655981,0.607311,6,5,1560203.5223879998
849,1,"28,119.03*",265.82399999999996,265.82399999999996,8,4,45.480000000000004
864,0,"26,117.59*",7.3469989999999985,0.05716822885858364,13,3,77.20180393315196
872,0,25104.73,2.3729396839418926,3.9411305464893083,6,9,0.0
875,1,24847.83,17.380819071601824,107.39680185729176,10,7,70180.27618810728
903,0,"19,850.39*",1.302782,6.5870999999999995,1,7,370512.876132
918,1,"19,127.80*",25.263987983761947,13.8953026344,2,13,25517.386523999998
925,0,"17,580.37*",6.4266719991705,0.8870228450720002,2,1,69788.078808
968,1,"16,824.03*",0.628287,0.628287,8,1,11488.651234199999
978,1,15104.13,1.793642488330341,1.793642488330341,8,5,0.0
981,0,"14,633.78*",3.1647648,0.06922923,2,5,3854.4197959999997
997,1,"13,103.11*",0.14180377724081825,0.14180377724081825,8,7,295.77980633802815
1016,0,"11,825.57*",5.548899999999999,5.12256,2,13,1428.5710319999998
1030,1,"10,476.32*",0.03980538,0.03980538,8,5,88.71620352
1060,0,"8,892.86*",5.801892259959943,0.058709624059118476,6,7,0.0
1072,0,"7,929.54*",0.7705678173850001,0.24881203958484063,10,9,13395.875286436069
1085,0,7493.96,2.405727220223,0.11167685553246685,2,9,0.0
1099,1,7015.09,0.5293368606966617,0.5293368606966617,8,7,9257.408383303538
1106,1,6797.03,0.07011604406222824,0.07011604406222824,8,3,17589.163774582204
1116,1,6539.97,0.10655987248254227,0.10655987248254227,8,3,8.432989985928705
1128,1,"5,710.75*",0.8154476425575832,0.8154476425575832,8,3,15331.055579999998
1135,0,"5,599.85*",0.6127502795699019,0.8941461448910644,2,9,0.0
1153,0,"4,906.75*",1.227514347129703,13.428746924212716,7,5,3400518.8920930624
1159,1,"4,901.56*",1.227514347129703,13.428746924212716,7,5,3400518.8920930624
1167,0,4729.96,0.11745670384000001,0.051581703397,6,7,3661.07735778
1181,1,"3,616.81*",0.3395613089366739,0.3395613089366739,8,1,55.51474726778081
1183,1,"3,511.03*",3.426992558056129,3.426992558056129,8,7,21880.593057131755
1189,0,"3,205.15*",72.80656898416758,0.4431704199036288,2,9,0.0
1231,0,"2,194.78*",72.80656898416758,0.08965060240963857,6,9,0.0
1259,1,"1,389.88*",5.769758854847581,3.110013936927772,7,5,49840.26740257421
1281,0,818.76*,22.462699487065816,0.03437144160168473,6,9,0.0
1300,0,454.09*,0.04777656,0.013170843000000002,6,5,1844.214
1302,2,433.43*,1.474936515291937,1.474936515291937,8,9,0.0
1304,0,409.78*,0.08383092050203675,5.029855230122204,2,7,1521.141325469502
1315,2,324.73*,0.02927409695909841,0.02927409695909841,8,9,0.0
1345,1,143.00*,4.45,0.17,13,14,0.0
1351,2,99.63,0.0361975618350448,0.0361975618350448,8,9,0.0
